examples,labels
Quero visualizar a minha conta,da minha conta
Não consigo entra no app,nao consigo visualizar
Limite disponível.. crédito. Conta corrente,da minha conta
Casa de alvenaria,o pagamento da
Ao faser a transação quando confirmo aparece código de segurança,o pagamento da
"Ontem fiz uma transferência de 200 reais, Mas um número  a mais",fiz uma transferencia
Não consigo pagar boletos e carregar meu celular,nao consigo visualizar
Valor prestação do empréstimo,valor da parcela
Queria saber valor da prestação,quero saber como
Porque  não tive  estorno  de 200 reais,e como faco
Sobre o poupar e ganhar se estou participando,de saber se
Sobre o poupa e ganhar demore se estou participando,de saber se
Gostaria. Sei saber do grama poupar e ganhar,de saber se
Tentei sacar dinheiro e apareceu q estava bloqueado?,o pagamento da
Cartão de crédito,cartao de credito
Cartão de crédito,cartao de credito
Sobre o valor da parcela do empréstimo?,valor da parcela
Como ativo meu sistema de aegurança??,na minha conta
E como faço o estorno?,e como faco
Desinstalei sem querer o aplicativo,debito sem ter
Quero fazer um estorno vc pode me esplicar como fazer,e como faco
Preciso desbloquear meu aplicativo,preciso desbloquear meu
fiz uma compra no cartão e não está constando o pagamento,fiz uma transferencia
Não abre o link enviado,nao consigo visualizar
Minha fatura do cartão tá outro valor não a que eu gastei,qual e o
Fiz uma compra com um valor mais agora tá outro,fiz uma transferencia
Eu fis o pagamento e aínda não veio meu crédito,nao consigo visualizar
E como faço para pegar a raspadinha,e como faco
Cartão de crédito,cartao de credito
Estou recebendo uma mensagem que meu cartão tá sendo usado,fiz uma transferencia
Preciso desbloquear meu aplicativo troquei,preciso desbloquear meu
Porque tenho duas contas ativas?,quero saber como
Porque tenho duas contas?,quero saber como
Habilitar código de segurança para pagamento e transferência pelo app,codigo de ativacao
Preciso desbloquear meu aplicativo,preciso desbloquear meu
Não está habilitado,nao consigo visualizar
Aplicativo não realiza transferência,nao consigo visualizar
Aplicativo diz que não está habilitado para realizar transferência,qual e o
Qual o aplicativo que é usado ?,qual e o
Resultado de pedido de empréstimo,valor da parcela
Fiz um pedido de empréstimo é quero saber se foi aprovado?,de saber se
Saber resultado do meu pedido de empréstimo,valor da parcela
Antecipação de cartão,cartao de credito
Recebi essa msg,o pagamento da
Cartao de crédito Rodrigo Queiróz Gonçalves,cartao de credito
Como faço para regularizar meus débitos,e como faco
Conta corrente está debitando a mais,da minha conta
Recebi esta mag o que devo fazer??,qual e o
Qual o limite de pagamento no aplicativo?,qual e o
Até que valor posso pagar boleto pelo aplicativo?,qual e o
Qual é o valor de boleto que posso pagar no aplicativo?,qual e o
Valor limite de pagamento de boleto no app,qual e o
Me equivoquei em um deposito feito ha alguns minutos,o pagamento da
Banco do Brasil,banco do brasil
há tenho o aplicativo,quero saber como
Quero saber como está minhas situação no banco,quero saber como
Quero saber do status da minha conta,da minha conta
Como consigo falar com uma central,nao consigo visualizar
Pode ser audio,o pagamento da
Quero fazer estorno de cartão de cliente,e como faco
Tenho usado pouco o chewuev,quero saber como
Vou ver aqui,nao consigo visualizar
Quem é meu gerente de conta?,da minha conta
Qual é meu gerente?,qual e o
Mais eu paguei  td hj,o pagamento da
Transação não permitida,nao consigo visualizar
Quando finaliza aparece uma mensagem,fiz uma transferencia
Não estou conseguindo efetuar pagamento pelo aplicativo,nao consigo visualizar
Banco do Brasil,banco do brasil
Qual limite da minha conta,da minha conta
Eu gostaria de saber quanto posso gasta no débito sem ter o dinheiro,debito sem ter
Queria saber qual meu limite da conta debito,quero saber como
Preciso do extrato de quitação do meu consignado para portabilidada,na minha conta
Banco do Brasil,banco do brasil
Como consegui usar débito sem dinheiro na conta?,debito sem ter
Qual o número da central de atendimento,na minha conta
Número do cheque 000061,na minha conta
Posso usar meu cartão no débito sem ter saldo na conta?,debito sem ter
Como meu cartão passou no débito se não havia saldo?,debito sem ter
Qual seria as bandeiras?,qual e o
Quero acessar meu seguro de vida,quero saber como
Eu quero saber como anda a fatura do meu cartao,quero saber como
Eu gostaria de saber se está m,de saber se
Existe pendências na minha conta do Sicredi?,da minha conta
Quero pagar agora,quero saber como
Gostaria de vericar as pendências da minha conta,da minha conta
Minha conta está bloqueada?,da minha conta
Gostaria de saber sobre meu financiamento de um veículo,de saber se
Posso solicitar a tag pedágios?,qual e o
Codigo de letrad,o pagamento da
Posso solicitar o tag?,qual e o
Car tão crédito,cartao de credito
Contestação de parcela,valor da parcela
Esses horários a cima não posso ir no banco,qual e o
Não posso esses horários,qual e o
Dúvida de um estorno de compra a credito,cartao de credito
Troquei de celular e não consigo fazer transferência,nao consigo visualizar
Não tenho contato com a gerência,quero saber como
estou tentando fazer de minha conta pra outra conta não está dando certo,da minha conta
Como saber o dia e valor do financiamento,quero saber como
para outra conta,da minha conta
Dia do pagamento,no dia util
Valor e dia da parcela,valor da parcela
"Ver o dia e valor da parcela, financiamento já contratado",valor da parcela
Troquei de celular e não consigo fazer transferências,nao consigo visualizar
Marlene Bento dos Santos,o pagamento da
E o CNPJ da sua empresa vc vai informar 10.491.489/0001-03,o pagamento da
Abri hoje não ganhei ainda,nao consigo visualizar
Solicitei e ele não me enviou,nao me enviou
Como falo com a Central de atendimento?,e como faco
Ele não me enviou,nao me enviou
Receber uma transferência,fiz uma transferencia
Tem como vc arrumar,e como faco
Na razão social está meu nome tem que colocar o nome da empresa,o pagamento da
